year,authors,title,journal,doi,pdf,github,preprint,type
2026,"Gee H, Hearn TJ",Human phenotype ontology clustering may uncover potential congenital adrenal hyperplasia cases in the 100 000 Genomes Project,"BMJ Connections Clinical Genetics and Genomics 2026;3:e000087.",10.1136/bmjccgg-2026-000087,,,,article
2026,"Gee H, Hearn TJ",Enrichment of CYP21A2 Promoter Variant rs150223621 in Congenital Adrenal Hyperplasia Cohorts from the 100 000 Genomes Project,"Current Genetic Medicine Reports 14, 14",10.1007/s40142-026-00247-4,,,,article
2025,Hearn T,Newborn whole genome sequencing complements rather than competes with population health,"BMJ 391, r2421",10.1136/bmj.r2421,,,,commentary
2025,Hearn T,Sequencing every UK newborn: why cold storage economics should shape policy,"Journal of Medical Genetics, advance online publication",10.1136/jmg-2025-111181,,,,article
2025,"Singh M, Pike CVS, Krithika S, Hearn TJ",Evaluation of extraction methods for co-isolation of nucleic acid from human saliva for forensic body fluid identification,"International Journal of Legal Medicine, advance online publication",10.1007/s00414-025-03641-9,,,,article
2025,"Hearn TJ, Whitmore D",An Abrupt Mid-1970s Shift in UK Birth Seasonality and its Implications for Chronobiological Studies,Journal of Biological Rhythms,10.1177/07487304251384348,,,,article
2025,"Ampiah M, Hearn T",Investigation of the relationship between variants in SCN5A E-box motifs and phenotype in the 100KGP Brugada syndrome cohort,"EUROPEAN JOURNAL OF HUMAN GENETICS 33, 227-227",,,,,abstract
2025,"McGowen J, Ampiah M, Hearn T","Analysis of diagnostic yield of inherited cardiac arrhythmia gene panels across ethnic groups in the 100,000 Genomes Project",BMJ Connections Clinical Genetics and Genomics 2:e000014,10.1136/bmjccgg-2025-000014,,,,article
2025,"Hearn TJ, Ampiah M, King L, Whitmore D",Photoperiodic and intrinsic circadian regulation of heart rate in Daphnia pulex,Biology Letters 21:20250142,10.1098/rsbl.2025.0142,,,,article
2024,"Nik-Mahmood N, Ratnaike T, Hearn T",A novel epigenome discovery in Trisomy-21: parent origin of the non-disjunction influences the penetrance of congenital heart disease in Down syndrome,European Journal of Human Genetics 32:1005–1005,,,,,abstract
2024,"Nik-Mahmood N, Ahmad F, Ratnaike T, Hearn T",A novel approach in functional genomics: identification of genetic variants associated with congenital heart disease in Down syndrome,European Journal of Human Genetics 32:1387–1388,,,,,abstract
2024,"Saoulidis A, Hearn T",Identifying chrono-pharmacogenomic variation to inform chrono-dosing potential of medicines,European Journal of Human Genetics 32 (Suppl 1):310–311,10.1038/s41431-023-01481-y,,,,abstract
2022,"Seed LM, Hearn TJ",A Systematic Review of Utilisation of Diurnal Timing Information in Clinical Trial Design for Long QT Syndrome,Frontiers in Pharmacology 13:867131,10.3389/fphar.2022.867131,,,,review
2022,"McGuigan A, Whitworth J, Andreou A, Hearn T, Genomics England Research Consortium, Tischkowitz M, Maher ER",Multilocus Inherited Neoplasia Allele Syndrome (MINAS): an update,European Journal of Human Genetics 30(3):265–270,10.1038/s41431-021-01013-6,,,,review
2021,"Fong CK, Hearn T, Webb SE, Frøland Steindal IA, Miller AL, Whitmore D",Daily rhythms in heartbeat rate are intrinsic to the zebrafish heart,Current Biology 31(5):R239–R240,10.1016/j.cub.2021.01.106,,,,article
2021,"Seed L, Hearn T",A candidate genetic modifier and autosomal recessive cause of Brugada syndrome that may alter the circadian expression of SCN5A,EP Europace 23(Supplement_3):euab116.001,10.1093/europace/euab116.001,,,,abstract
2021,"Kroll F, Powell GT, Ghosh M, Gestri G, Antinucci P, Hearn TJ, Tunbak H, Lim S, Dennis HW, Fernandez JM, Whitmore D, Dreosti E, Wilson SW, Hoffman EJ, Rihel J",A simple and effective F0 knockout method for rapid screening of behaviour and other complex phenotypes,eLife 10:e59683,10.7554/eLife.59683,,,,article
2020,"Hearn TJ, Webb AAR",Recent advances in understanding regulation of the Arabidopsis circadian clock by local cellular environment,F1000Research 9:F1000 Faculty Rev-51,10.12688/f1000research.21307.1,,,,review
